coincidences discrepancies reprod_index
7570805 208 0 1
7525927 211 0 1
7530221 217 0 1
7569260 209 0 1
7538362 192 0 1
7542060 210 0 1
7541702 208 0 1
7559134 199 0 1
7566122 203 0 1
7528974 211 0 1
7543870 215 0 1
7601279 213 0 1
7533673 201 0 1
7538489 201 0 1
7535973 214 0 1
7566602 215 0 1
7528584 201 0 1
7564020 211 0 1
7574814 211 0 1
7551163 201 0 1
7547734 194 0 1
7614554 196 0 1
7551753 208 0 1
7540190 216 0 1
7551527 204 0 1
7527711 200 0 1
7568734 211 0 1
7539868 214 0 1
7541147 206 0 1
7570395 216 0 1
7532635 213 0 1
7560541 213 0 1
7568513 199 0 1
7564062 201 0 1
7620930 206 0 1
7572044 202 0 1
7540587 202 0 1
7619501 201 0 1
7564172 206 0 1
7568483 202 0 1
7557174 204 0 1
7554824 210 0 1
7632778 205 0 1
7530939 196 0 1
7527199 212 0 1
7529950 209 0 1
7526515 208 0 1
7531811 201 0 1
7525679 207 0 1
7602613 204 0 1
7527737 209 0 1
7528875 209 0 1
7561923 203 0 1
7548568 211 0 1
7528893 208 0 1
7559370 218 0 1
7527816 215 0 1
7538548 210 0 1
7554732 211 0 1
7630878 208 0 1
7528948 211 0 1
7526603 204 0 1
7541658 209 0 1
7570128 198 0 1
7532752 208 0 1
7571295 203 0 1
7630124 204 0 1
7570786 203 0 1
7539762 203 0 1
9843155 201 0 1
7540436 210 0 1
7538154 202 0 1
7541148 211 0 1
7540002 188 0 1
7573171 202 0 1
7531063 203 0 1
7539187 199 0 1
7538141 194 0 1
7610926 204 0 1
7548398 201 0 1
7525925 196 0 1
7568436 200 0 1
7561327 210 0 1
7525896 192 0 1
7571240 205 0 1
7573108 218 0 1
7563368 211 0 1
7554380 201 0 1
7526740 200 0 1
7600375 198 0 1
7563892 209 0 1
7529935 213 0 1
7538952 213 0 1
7619971 202 0 1
7574650 219 0 1
7546613 205 0 1
7621889 202 0 1
7568590 211 0 1
7530760 199 0 1
7530443 203 0 1
7548326 210 0 1
7564535 195 0 1
7621053 221 0 1
7620195 213 0 1
14511822 209 0 1
7559692 204 0 1
7544237 205 0 1
7551668 189 0 1
7553435 222 0 1
7525758 198 0 1
7565874 197 0 1
7531153 198 0 1
7533922 198 0 1
7535718 209 0 1
7534976 208 0 1
7553172 202 0 1
7553320 205 0 1
7528396 206 0 1
7542588 205 0 1
7572527 208 0 1
7549607 216 0 1
7552655 206 0 1
7618129 202 0 1
7569509 219 0 1
7573581 212 0 1
7544287 204 0 1
7540383 210 0 1
7541130 194 0 1
7557701 206 0 1
7533964 206 0 1
7561313 202 0 1
9835715 206 0 1
7612002 195 0 1
7534151 213 0 1
7541137 203 0 1
7539524 214 0 1
7605290 208 0 1
7572157 201 0 1
7561215 212 0 1
7540803 209 0 1
7539724 204 0 1
7551922 199 0 1
7571043 202 0 1
7622805 208 0 1
7571179 192 0 1
7527224 207 0 1
7548465 204 0 1
7562325 203 0 1
7530642 208 0 1
7526252 208 0 1
7570158 211 0 1
7569641 205 0 1
7554830 209 0 1
7537947 216 0 1
7533131 194 0 1
7526245 207 0 1
7543135 206 0 1
7534961 214 0 1
7546570 201 0 1
7527116 210 0 1
7569003 201 0 1
7553487 197 0 1
7531886 210 0 1
7528850 209 0 1
7559547 206 0 1
7561814 205 0 1
7564189 204 0 1
9846817 202 0 1
7551690 207 0 1
7601450 194 0 1
7546422 193 0 1
7542118 212 0 1
7533525 208 0 1
7529675 201 0 1
7532130 209 0 1
7562351 193 0 1
7568713 212 0 1
7569454 213 0 1
7573974 214 0 1
7540776 210 0 1
7570653 215 0 1
7526411 201 0 1
7553359 203 0 1
7531360 212 0 1
7545104 208 0 1
7558650 204 0 1
7570016 185 0 1
7533039 209 0 1
7531843 206 0 1
7530061 213 0 1
7574784 212 0 1
7527128 200 0 1
7528179 213 0 1
7538309 198 0 1
7527105 198 0 1
7546346 211 0 1
7526303 210 0 1
7529228 209 0 1
7569633 201 0 1
7559756 211 0 1
7616153 209 0 1
7569002 203 0 1
7546431 213 0 1
7527385 205 0 1
7539461 195 0 1
7540946 209 0 1
7539157 204 0 1
7574422 212 0 1
7572327 199 0 1
7545204 212 0 1
7526634 212 0 1
7526721 205 0 1
7531190 215 0 1
7555021 202 0 1
7531776 203 0 1
7547758 201 0 1
7566293 204 0 1
7624868 207 0 1
7539615 208 0 1
7631169 206 0 1
7564736 209 0 1
7570801 198 0 1
7631257 203 0 1
7554826 198 0 1
7568660 216 0 1
7529047 205 0 1
7614815 205 0 1
7540964 214 0 1
7532791 201 0 1
7627018 207 0 1
7604430 205 0 1
7544562 209 0 1
7570759 203 0 1
7552527 207 0 1
7527006 207 0 1
7525682 210 0 1
7527326 207 0 1
7526183 213 0 1
7528564 213 0 1
7559030 211 0 1
7552701 217 0 1
7529088 213 0 1
7550730 217 0 1
7570235 202 0 1
7551897 203 0 1
7540274 214 0 1
7558687 199 0 1
7559118 202 0 1
7539873 214 0 1
7557505 209 0 1
7570573 205 0 1
7615076 204 0 1
7569512 213 0 1
7553753 200 0 1
7526985 202 0 1
7548520 199 0 1
7543848 205 0 1
7529900 208 0 1
7538043 199 0 1
7526654 198 0 1
7552421 205 0 1
7559910 213 0 1
7556917 198 0 1
7539697 201 0 1
7575132 211 0 1
7545811 212 0 1
7530873 195 0 1
7573921 211 0 1
7538514 203 0 1
7528688 210 0 1
7565207 202 0 1
7557080 214 0 1
7561511 197 0 1
7618934 214 0 1
7556745 208 0 1
7558505 187 0 1
7526291 210 0 1
7526630 215 0 1
7533980 200 0 1
7547086 207 0 1
7540415 201 0 1
7624469 204 0 1
7572696 206 0 1
7573035 209 0 1
7531927 207 0 1
7553656 205 0 1
7572552 209 0 1
7632748 199 0 1
7629429 196 0 1
7527811 199 0 1
7573510 204 0 1
7532223 212 0 1
7548481 211 0 1
7528324 204 0 1
7528866 211 0 1
7534785 206 0 1
7526941 215 0 1
7525826 205 0 1
7540959 210 0 1
7529387 207 0 1
7540476 202 0 1
7565930 203 0 1
7565258 198 0 1
7541041 210 0 1
7533130 206 0 1
7547083 194 0 1
7560167 216 0 1
7571163 207 0 1
7532910 207 0 1
7599488 203 0 1
7541084 201 0 1
7538366 200 0 1
7548080 211 0 1
7532476 206 0 1
7548608 214 0 1
7569540 200 0 1
7530901 208 0 1
7560247 200 0 1
7568160 196 0 1
7573039 209 0 1
